
number of params: 3072 

epoch: 207 avg_loss: 0.4299, acc: 0.8864 
val --- avg_loss: 0.2482, acc: 1.0000  

epoch: 208 avg_loss: 0.4278, acc: 0.8873 
val --- avg_loss: 0.2465, acc: 1.0000  

epoch: 209 avg_loss: 0.4257, acc: 0.8879 
val --- avg_loss: 0.2453, acc: 1.0000  

epoch: 210 avg_loss: 0.4236, acc: 0.8887 
val --- avg_loss: 0.2438, acc: 1.0000  

epoch: 211 avg_loss: 0.4215, acc: 0.8899 
val --- avg_loss: 0.2427, acc: 1.0000  

epoch: 212 avg_loss: 0.4195, acc: 0.8907 
val --- avg_loss: 0.2416, acc: 1.0000  

epoch: 213 avg_loss: 0.4174, acc: 0.8916 
val --- avg_loss: 0.2396, acc: 1.0000  

epoch: 214 avg_loss: 0.4154, acc: 0.8930 
val --- avg_loss: 0.2387, acc: 1.0000  

epoch: 215 avg_loss: 0.4134, acc: 0.8933 
val --- avg_loss: 0.2372, acc: 1.0000  

epoch: 216 avg_loss: 0.4114, acc: 0.8942 
val --- avg_loss: 0.2359, acc: 1.0000  

epoch: 217 avg_loss: 0.4094, acc: 0.8945 
val --- avg_loss: 0.2349, acc: 1.0000  

epoch: 218 avg_loss: 0.4073, acc: 0.8953 
val --- avg_loss: 0.2332, acc: 1.0000  

epoch: 219 avg_loss: 0.4056, acc: 0.8953 
val --- avg_loss: 0.2326, acc: 1.0000  

epoch: 220 avg_loss: 0.4034, acc: 0.8965 
val --- avg_loss: 0.2306, acc: 1.0000  

epoch: 221 avg_loss: 0.4015, acc: 0.8968 
val --- avg_loss: 0.2296, acc: 1.0000  

epoch: 222 avg_loss: 0.3996, acc: 0.8973 
val --- avg_loss: 0.2284, acc: 1.0000  

epoch: 223 avg_loss: 0.3976, acc: 0.8973 
val --- avg_loss: 0.2268, acc: 1.0000  

epoch: 224 avg_loss: 0.3958, acc: 0.8988 
val --- avg_loss: 0.2258, acc: 1.0000  

epoch: 225 avg_loss: 0.3940, acc: 0.8991 
val --- avg_loss: 0.2253, acc: 1.0000  

epoch: 226 avg_loss: 0.3919, acc: 0.9002 
val --- avg_loss: 0.2236, acc: 1.0000  

epoch: 227 avg_loss: 0.3901, acc: 0.9008 
val --- avg_loss: 0.2224, acc: 1.0000  

epoch: 228 avg_loss: 0.3883, acc: 0.9013 
val --- avg_loss: 0.2212, acc: 1.0000  

epoch: 229 avg_loss: 0.3863, acc: 0.9022 
val --- avg_loss: 0.2197, acc: 1.0000  

epoch: 230 avg_loss: 0.3846, acc: 0.9028 
val --- avg_loss: 0.2180, acc: 1.0000  

epoch: 231 avg_loss: 0.3827, acc: 0.9036 
val --- avg_loss: 0.2173, acc: 1.0000  

epoch: 232 avg_loss: 0.3810, acc: 0.9045 
val --- avg_loss: 0.2163, acc: 1.0000  

epoch: 233 avg_loss: 0.3791, acc: 0.9048 
val --- avg_loss: 0.2150, acc: 1.0000  

epoch: 234 avg_loss: 0.3773, acc: 0.9054 
val --- avg_loss: 0.2141, acc: 1.0000  

epoch: 235 avg_loss: 0.3756, acc: 0.9065 
val --- avg_loss: 0.2127, acc: 1.0000  

epoch: 236 avg_loss: 0.3737, acc: 0.9079 
val --- avg_loss: 0.2114, acc: 1.0000  

epoch: 237 avg_loss: 0.3720, acc: 0.9088 
val --- avg_loss: 0.2106, acc: 1.0000  

epoch: 238 avg_loss: 0.3702, acc: 0.9097 
val --- avg_loss: 0.2095, acc: 1.0000  

epoch: 239 avg_loss: 0.3685, acc: 0.9105 
val --- avg_loss: 0.2083, acc: 1.0000  

epoch: 240 avg_loss: 0.3668, acc: 0.9108 
val --- avg_loss: 0.2071, acc: 1.0000  

epoch: 241 avg_loss: 0.3651, acc: 0.9117 
val --- avg_loss: 0.2065, acc: 1.0000  

